Date,Peak Load (MW)
1/1/2019,372.47
1/2/2019,382.08
1/3/2019,403.26
1/4/2019,376.04
1/5/2019,396.01
1/6/2019,397.44
1/7/2019,388.98
1/8/2019,402.93
1/9/2019,412.27
1/10/2019,389.1
1/11/2019,344.26
1/12/2019,370.36
1/13/2019,357.72
1/14/2019,339.58
1/15/2019,305.22
1/16/2019,368.62
1/17/2019,379.87
1/18/2019,336.94
1/19/2019,373.37
1/20/2019,377.23
1/21/2019,375.41
1/22/2019,366.03
1/23/2019,373.05
1/24/2019,371.96
1/25/2019,341.65
1/26/2019,375.33
1/27/2019,368.94
1/28/2019,358.81
1/29/2019,345.07
1/30/2019,346.26
1/31/2019,339.6
2/1/2019,325.02
2/2/2019,353.27
2/3/2019,362.08
2/4/2019,355.4
2/5/2019,357.29
2/6/2019,362.86
2/7/2019,346.69
2/8/2019,323.1
2/9/2019,350.4
2/10/2019,343.77
2/11/2019,345.53
2/12/2019,334.46
2/13/2019,328.6
2/14/2019,312.33
2/15/2019,295.52
2/16/2019,312.73
2/17/2019,304.84
2/18/2019,307.22
2/19/2019,304.4
2/20/2019,301.74
2/21/2019,273.44
2/22/2019,279.43
2/23/2019,308.33
2/24/2019,312.5
2/25/2019,318.22
2/26/2019,326.4
2/27/2019,308.99
2/28/2019,297.03
3/1/2019,273.03
3/2/2019,300.34
3/3/2019,302.07
3/4/2019,297.91
3/5/2019,295.95
3/6/2019,298.12
3/7/2019,290.87
3/8/2019,286.7
3/9/2019,281.53
3/10/2019,251.57
3/11/2019,286.64
3/12/2019,279.42
3/13/2019,280.76
3/14/2019,290.59
3/15/2019,269.91
3/16/2019,289.03
3/17/2019,289.63
3/18/2019,290.73
3/19/2019,285.56
3/20/2019,288.05
3/21/2019,276.28
3/22/2019,255.49
3/23/2019,262.49
3/24/2019,252.07
3/25/2019,236.95
3/26/2019,228.48
3/27/2019,234.8
3/28/2019,230.85
3/29/2019,235.95
3/30/2019,238.78
3/31/2019,232.69
4/1/2019,236.31
4/2/2019,230.63
4/3/2019,233.27
4/4/2019,235.38
4/5/2019,230.38
4/6/2019,233.01
4/7/2019,229.98
4/8/2019,231.28
4/9/2019,229.9
4/10/2019,229.73
4/11/2019,229.07
4/12/2019,216.91
4/13/2019,223.64
4/14/2019,216.39
4/15/2019,223.72
4/16/2019,225.56
4/17/2019,220.96
4/18/2019,219.26
4/19/2019,201.9
4/20/2019,217.55
4/21/2019,211.96
4/22/2019,216.95
4/23/2019,218.14
4/24/2019,202.11
4/25/2019,217.06
4/26/2019,211.9
4/27/2019,220.07
4/28/2019,219.11
4/29/2019,210.59
4/30/2019,215.84
5/1/2019,213.8
5/2/2019,213.42
5/3/2019,213.51
5/4/2019,214.51
5/5/2019,219.12
5/6/2019,186.02
5/7/2019,215.1
5/8/2019,222.77
5/9/2019,220.18
5/10/2019,214.61
5/11/2019,215.63
5/12/2019,218.9
5/13/2019,217.76
5/14/2019,222.65
5/15/2019,223.98
5/16/2019,214.35
5/17/2019,217.24
5/18/2019,226.7
5/19/2019,222.28
5/20/2019,223.09
5/21/2019,217.55
5/22/2019,227.21
5/23/2019,223.06
5/24/2019,221.02
5/25/2019,223.45
5/26/2019,206.32
5/27/2019,208.53
5/28/2019,198.41
5/29/2019,214.58
5/30/2019,216.29
5/31/2019,218.67
6/1/2019,214.95
6/2/2019,222.44
6/3/2019,221.11
6/4/2019,217.82
6/5/2019,212.85
6/6/2019,209.25
6/7/2019,208.75
6/8/2019,224.29
6/9/2019,222.19
6/10/2019,224.38
6/11/2019,222.96
6/12/2019,230.22
6/13/2019,233.64
6/14/2019,222.54
6/15/2019,233.03
6/16/2019,229.81
6/17/2019,225.51
6/18/2019,231.06
6/19/2019,228.76
6/20/2019,224.61
6/21/2019,213.76
6/22/2019,225.26
6/23/2019,231.07
6/24/2019,233.46
6/25/2019,237.08
6/26/2019,233.19
6/27/2019,231.58
6/28/2019,223.33
6/29/2019,231.99
6/30/2019,233.4
7/1/2019,238.18
7/2/2019,245.74
7/3/2019,243.25
7/4/2019,241.28
7/5/2019,220.68
7/6/2019,243.23
7/7/2019,254.34
7/8/2019,249.52
7/9/2019,248.8
7/10/2019,239.06
7/11/2019,235.07
7/12/2019,222.81
7/13/2019,235.2
7/14/2019,243.37
7/15/2019,248.04
7/16/2019,249.36
7/17/2019,238.81
7/18/2019,243.52
7/19/2019,260.11
7/20/2019,240.76
7/21/2019,265.22
7/22/2019,269.67
7/23/2019,267.22
7/24/2019,250.45
7/25/2019,271.08
7/26/2019,255.22
7/27/2019,233.51
7/28/2019,274.11
7/29/2019,276.58
7/30/2019,279.4
7/31/2019,270.79
