Date,Max Temp,Min Temp
1/1/2019,19.2,1.2
1/2/2019,17.9,1.4
1/3/2019,17.8,1
1/4/2019,17,1.5
1/5/2019,17,1.5
1/6/2019,18.2,1.8
1/7/2019,15.6,6.5
1/8/2019,19.5,1.8
1/9/2019,19,4.5
1/10/2019,18,3
1/11/2019,18,4.4
1/12/2019,17.5,4.4
1/13/2019,19,2.9
1/14/2019,19.2,2.9
1/15/2019,19.2,2.2
1/16/2019,18.2,2.9
1/17/2019,18.5,3.2
1/18/2019,19.2,3.4
1/19/2019,18.8,3.8
1/20/2019,19.5,3.3
1/21/2019,20.8,3.8
1/22/2019,19.6,5
1/23/2019,12,8.1
1/24/2019,18.5,4.6
1/25/2019,18,5
1/26/2019,13.4,7.8
1/27/2019,19.2,6.8
1/28/2019,18.5,3.5
1/29/2019,18.2,3.3
1/30/2019,18.5,1.9
1/31/2019,18.3,3.2
2/1/2019,19.6,6.8
2/2/2019,21,3.8
2/3/2019,21.7,3
2/4/2019,22.4,4
2/5/2019,20.8,4.8
2/6/2019,21.8,6
2/7/2019,21.8,7.8
2/8/2019,16.9,8.6
2/9/2019,13,6
2/10/2019,18.5,2.2
2/11/2019,21,5.7
2/12/2019,21,5
2/13/2019,21.8,5.7
2/14/2019,19.6,7.7
2/15/2019,21.7,9.6
2/16/2019,20.3,8.4
2/17/2019,19.5,4.6
2/18/2019,22,4.8
2/19/2019,19.3,7.5
2/20/2019,22.8,5.2
2/21/2019,25,6.8
2/22/2019,25.7,6.8
2/23/2019,25.5,7.4
2/24/2019,21.8,6.8
2/25/2019,21.5,8.3
2/26/2019,22.5,7.3
2/27/2019,16.5,8.6
2/28/2019,16.5,2
3/1/2019,20.8,2.8
3/2/2019,20.2,4.6
3/3/2019,20.5,6.8
3/4/2019,24.2,6.1
3/5/2019,23.4,7.4
3/6/2019,23.4,5.4
3/7/2019,23.4,6
3/8/2019,22.5,6.8
3/9/2019,24,6.6
3/10/2019,25,7
3/11/2019,26.5,7.2
3/12/2019,26.8,7.4
3/13/2019,29,7.6
3/14/2019,27.3,12.2
3/15/2019,27,9.4
3/16/2019,27,7.8
3/17/2019,27.2,8.8
3/18/2019,26,11.5
3/19/2019,24.5,7.4
3/20/2019,24.6,7.6
3/21/2019,26.3,7.5
3/22/2019,27.6,8.8
3/23/2019,27.7,8.6
3/24/2019,27.8,9.4
3/25/2019,26.5,11
3/26/2019,21.2,11
3/27/2019,24.4,8
3/28/2019,27.1,9
3/29/2019,25,14
3/30/2019,24,13.6
3/31/2019,27,13.4
4/1/2019,27.7,9.5
4/2/2019,27,10.4
4/3/2019,26.6,11.2
4/4/2019,26,14.8
4/5/2019,24,14
4/6/2019,17.6,12.2
