Date,Wind Direction(Avg),Wind Speed(knot)(Avg)
1/1/2019,82.857,1.857
1/2/2019,82.5,2
1/3/2019,86.25,2.625
1/4/2019,60,2.625
1/5/2019,42.5,0.75
1/6/2019,68.75,1
1/7/2019,65,2
1/8/2019,98.75,2
1/9/2019,138.75,2.75
1/10/2019,37.5,1
1/11/2019,67.5,1.625
1/12/2019,52.5,1.25
1/13/2019,95,2.5
1/14/2019,78.75,2.125
1/15/2019,126.25,2.125
1/16/2019,77.5,1.625
1/17/2019,48.75,0.875
1/18/2019,98.75,2
1/19/2019,117.5,3.125
1/20/2019,120,2.625
1/21/2019,53.75,1.25
1/22/2019,108.75,2.375
1/23/2019,78.75,2.625
1/24/2019,83.75,2.375
1/25/2019,83.75,2
1/26/2019,60,0.875
1/27/2019,66.25,1.5
1/28/2019,90,2.125
1/29/2019,105,2.375
1/30/2019,115,2.375
1/31/2019,66.25,1.5
2/1/2019,117.5,3.125
2/2/2019,82.5,2.375
2/3/2019,110,3
2/4/2019,67.5,1.25
2/5/2019,93.75,2.5
2/6/2019,97.5,2.375
2/7/2019,47.5,1.25
2/8/2019,155,2.75
2/9/2019,137.5,6.125
2/10/2019,135,3
2/11/2019,77.5,1.75
2/12/2019,92.5,2.625
2/13/2019,66.25,1.75
2/14/2019,11.25,0.375
2/15/2019,82.5,2.375
2/16/2019,63.75,2.25
2/17/2019,91.25,2.875
2/18/2019,135,5.375
2/19/2019,106.25,2.5
2/20/2019,110,2.125
2/21/2019,128.75,3.875
2/22/2019,90,3.625
2/23/2019,156.25,3.75
2/24/2019,117.5,1.875
2/25/2019,87.5,2.875
2/26/2019,138.75,3.375
2/27/2019,143.333,5.444
2/28/2019,158.75,3.625
3/1/2019,111.25,3.125
3/2/2019,122.5,3.625
3/3/2019,151.25,4.5
3/4/2019,152.5,4
3/5/2019,161.25,4.25
3/6/2019,138.75,3.125
3/7/2019,115,3
3/8/2019,146.25,4.125
3/9/2019,141.25,4.375
3/10/2019,141.25,4.5
3/11/2019,126.25,3.75
3/12/2019,137.5,3.875
3/13/2019,147.5,3.25
3/14/2019,110,3.375
3/15/2019,137.5,4.375
3/16/2019,135,4.875
3/17/2019,98.75,3.25
3/18/2019,133.75,3.25
3/19/2019,162.5,4.25
3/20/2019,133.75,4.5
3/21/2019,133.75,4.625
3/22/2019,97.5,3.375
3/23/2019,140,4.375
3/24/2019,186.25,5.125
3/25/2019,155,5.75
3/26/2019,118.75,3
3/27/2019,118.75,4.125
3/28/2019,153.75,4.5
3/29/2019,156.25,4.875
3/30/2019,153.75,2.875
3/31/2019,166.25,4.5
4/1/2019,191.25,3.375
4/2/2019,143.75,4.375
4/3/2019,176.25,5.125
4/4/2019,187.5,5
4/5/2019,153.75,5.125
4/6/2019,145,5.125
4/7/2019,135,4.75
4/8/2019,198.75,4.875
4/9/2019,73.75,3.5
4/10/2019,173.75,3.375
4/11/2019,171.25,4.25
4/12/2019,180,6.125
4/13/2019,141.25,3.5
4/14/2019,183.75,5
4/15/2019,141.25,4
4/16/2019,173.75,4.625
4/17/2019,138.75,5.125
4/18/2019,150,4.875
4/19/2019,145,3.5
4/20/2019,67.5,2.625
4/21/2019,195,5
4/22/2019,155,5.875
4/23/2019,178.75,4.375
4/24/2019,171.25,5.25
4/25/2019,126.25,2.625
4/26/2019,168.75,4.75
4/27/2019,162.5,4.5
4/28/2019,181.25,4.625
4/29/2019,110,3.75
4/30/2019,188.75,3.125
5/1/2019,186.25,4.625
5/2/2019,123.75,4.375
5/3/2019,53.75,2.75
5/4/2019,178.75,4.5
5/5/2019,101.25,2.375
5/6/2019,153.75,3
5/7/2019,113.75,3.5
5/8/2019,130,3.625
5/9/2019,116.25,3.625
5/10/2019,120,3
5/11/2019,113.75,4
5/12/2019,86.25,2.625
5/13/2019,31.25,2.5
5/14/2019,140,4.25
5/15/2019,122.5,3
5/16/2019,136.25,3.25
5/17/2019,116.25,3.875
5/18/2019,157.142,5.714
5/19/2019,98.75,3.625
5/20/2019,86.25,2.875
5/21/2019,81.25,2.75
5/22/2019,137.5,4.75
5/23/2019,182.5,4.5
5/24/2019,103.75,2.75
5/25/2019,168.75,4.875
5/26/2019,123.75,4.125
5/27/2019,115,3.125
5/28/2019,98.75,1.625
5/29/2019,120,3.375
5/30/2019,103.75,2.5
5/31/2019,75,2.375
6/1/2019,113.75,2.875
6/2/2019,95,2.375
6/3/2019,40,2.125
6/4/2019,198.75,3.625
6/5/2019,135,2.5
6/6/2019,83.75,2.625
6/7/2019,193.75,4.875
6/8/2019,143.75,3.875
6/9/2019,213.75,4.25
6/10/2019,75,4.25
6/11/2019,122.5,3.25
6/12/2019,111.25,3.375
6/13/2019,105,2.625
6/14/2019,133.75,3
6/15/2019,185,3.75
6/16/2019,206.25,4.5
6/17/2019,95,3.75
6/18/2019,110,3.375
6/19/2019,192.5,4.25
6/20/2019,117.5,2.125
6/21/2019,123.75,4
6/22/2019,130,2.875
6/23/2019,85,1.125
6/24/2019,127.5,3.25
6/25/2019,146.25,3.375
6/26/2019,78.75,2
6/27/2019,171.25,4.375
6/28/2019,147.5,3.125
6/29/2019,111.25,2
6/30/2019,102.5,3
7/1/2019,86.875,2.875
7/2/2019,105,3.75
7/3/2019,176.25,4.375
7/4/2019,192.5,5
7/5/2019,108.75,1.625
7/6/2019,70,1.875
7/7/2019,101.25,2
7/8/2019,87.5,3
7/9/2019,62.5,3.5
7/10/2019,78.75,2.625
7/11/2019,95,10.375
7/12/2019,60,6.25
7/13/2019,60,2.75
7/14/2019,113.75,3.375
7/15/2019,123.75,2.75
7/16/2019,82.5,1.25
7/17/2019,150,3.625
7/18/2019,60,1.375
7/19/2019,46.25,1.75
7/20/2019,118.75,3.875
7/21/2019,112.5,3.25
7/22/2019,65,1.375
7/23/2019,150,3.75
7/24/2019,78.75,2.5
7/25/2019,91.25,2.25
7/26/2019,96.25,2.625
7/27/2019,106.25,2.625
7/28/2019,95,2.75
7/29/2019,101.25,3.75
7/30/2019,133.75,4.75
7/31/2019,123.75,3.75
8/1/2019,116.25,4.25
8/2/2019,152.5,4.625
8/3/2019,108.75,3.125
8/4/2019,162.5,3.125
8/5/2019,65,1.5
8/6/2019,116.25,3.875
8/7/2019,210,4.75
8/8/2019,83.75,2.25
8/9/2019,55,1.875
8/10/2019,26.25,1.5
8/11/2019,101.25,2.375
8/12/2019,83.75,4.5
8/13/2019,156.25,3.625
8/14/2019,146.25,5
8/15/2019,91.25,2.875
8/16/2019,57.5,1.625
8/17/2019,56.25,1.375
8/18/2019,72.5,1.625
8/19/2019,97.5,2.375
8/20/2019,93.75,1.75
8/21/2019,160,4.125
8/22/2019,121.428,3.142
8/23/2019,90,2.75
8/24/2019,56.725,4.575
8/25/2019,35,0.75
8/26/2019,75.75,2.75
8/27/2019,38.75,1.5
8/28/2019,91.25,3.5
8/29/2019,155,2.625
8/30/2019,147.5,3.25
8/31/2019,110,2.5
9/1/2019,102.5,2.625
9/2/2019,118.571,2.285
9/3/2019,35,2.125
9/4/2019,38.75,1.25
9/5/2019,31.25,0.625
9/6/2019,101.25,1.875
9/7/2019,140,3.75
9/8/2019,81.25,7.125
9/9/2019,186.25,4.125
9/10/2019,32.5,0.375
9/11/2019,133.75,3.625
9/12/2019,52.5,1.875
9/13/2019,42.5,1.375
9/14/2019,58.75,1.25
9/15/2019,146.25,2.75
9/16/2019,81.25,1.875
9/17/2019,80,1.6875
9/18/2019,117.5,2.375
9/19/2019,143.75,3.5
9/20/2019,105,3.125
9/21/2019,85,3.5
9/22/2019,86.25,1.5
9/23/2019,75,1.625
9/24/2019,168.75,3.875
9/25/2019,60,1.625
9/26/2019,77.5,1.125
9/27/2019,90,2.375
9/28/2019,162.5,2.625
9/29/2019,130,3.375
9/30/2019,116.25,2.875
10/1/2019,111.25,3.125
10/2/2019,38.75,3.25
10/3/2019,150,4.5
10/4/2019,136.25,2.625
10/5/2019,130,2.875
10/6/2019,142.5,3
10/7/2019,155,3.25
10/8/2019,152.5,3.5
10/9/2019,142.5,3.25
10/10/2019,97.5,2.625
10/11/2019,78.75,2
10/12/2019,113.75,2.5
10/13/2019,122.5,3.25
10/14/2019,133.75,2.875
10/15/2019,81.25,2.25
10/16/2019,132.5,2.375
10/17/2019,97.5,2.25
10/18/2019,88.75,1.625
10/19/2019,72.5,4.375
10/20/2019,151.25,3.25
10/21/2019,103.75,3.375
10/22/2019,180,3.375
10/23/2019,181.25,4.75
10/24/2019,125,4
10/25/2019,117.5,2.875
10/26/2019,115,2.25
10/27/2019,170,3.714
10/28/2019,115,2.5
10/29/2019,101.25,3.625
10/30/2019,116.25,2.625
10/31/2019,143.75,3.375
11/1/2019,146.25,4.625
11/2/2019,127.5,2.875
11/3/2019,143.75,3.25
11/4/2019,166.25,3.125
11/5/2019,140,2.362
11/6/2019,142.5,2.375
11/7/2019,135,2.125
11/8/2019,123.75,2.875
11/9/2019,80,1.875
11/10/2019,108.75,2.875
11/11/2019,98.75,2.5
11/12/2019,97.5,2.375
11/13/2019,146.25,2.625
11/14/2019,141.25,3.25
11/15/2019,110,2.75
11/16/2019,116.25,3
11/17/2019,126.25,2
11/18/2019,126.25,2.375
11/19/2019,123.75,2.5
11/20/2019,97.5,2.625
11/21/2019,113.75,2.875
11/22/2019,135,2.375
11/23/2019,127.5,2.75
11/24/2019,123.75,3
11/25/2019,116.25,2.25
11/26/2019,127.5,2.625
11/27/2019,106.25,1.875
11/28/2019,157.5,3.25
11/29/2019,110,2.875
11/30/2019,68.75,2.25
12/1/2019,87.5,2
12/2/2019,90,1.875
12/3/2019,132.5,1.625
12/4/2019,117.5,2.125
12/5/2019,102.5,1.625
12/6/2019,96.25,2
12/7/2019,155,3.875
12/8/2019,109.812,2.625
12/9/2019,103.75,2.25
12/10/2019,121.25,2.625
12/11/2019,113.75,2.5
12/12/2019,97.5,1.875
12/13/2019,90,1.625
12/14/2019,127.5,2.625
12/15/2019,123.75,2.75
12/16/2019,106.25,2.125
12/17/2019,111.25,3.25
12/18/2019,131.25,2.625
12/19/2019,100,3.5
12/20/2019,117.5,2.875
12/21/2019,63.75,1.875
12/22/2019,126.25,3.375
12/23/2019,91.25,2.5
12/24/2019,122.5,3.125
12/25/2019,106.25,2.5
12/26/2019,86.25,1.875
12/27/2019,133.75,2.5
12/28/2019,68.75,2.375
12/29/2019,72.5,2.125
12/30/2019,50,0.625
12/31/2019,87.5,2
1/1/2020,78.75,1.5
1/2/2020,73.75,1.875
1/3/2020,15,0.375
1/4/2020,90,2.571
1/5/2020,157.5,3
1/6/2020,82.857,2.571
1/7/2020,156.25,2.375
1/8/2020,61.25,0.875
1/9/2020,67.5,1.25
1/10/2020,135,2.833
1/11/2020,180,2.2
1/12/2020,57.142,1
1/13/2020,92.5,1.5
1/14/2020,84.285,1.571
1/15/2020,97.5,2.25
1/16/2020,56,0.6
1/17/2020,44.6665,0.8
1/18/2020,33.333,1
1/19/2020,107.142,2.714
1/20/2020,96.666,2.333
1/21/2020,98,2.8
1/22/2020,95,2.166
1/23/2020,180,4
1/24/2020,95.714,3
1/25/2020,95.714,1.714
1/26/2020,135,2.625
1/27/2020,137.5,2.6875
